name	contigs_db_path
Alteromonas_mediterranea_DE	642555105.db
Alteromonas_naphthalenivorans_SN2	2504136012.db
Alteromonas_macleodii_English_Channel_673	2521172683.db
Alteromonas_macleodii_Black_Sea_11	2521172684.db
Alteromonas_macleodii_AltDE1	2521172685.db
Alteromonas_macleodii_Balearic_Sea_AD45	2521172706.db
Alteromonas_sp_ALT199	2524614846.db
Alteromonas_macleodii__Aegean_Sea_MED64_	2545824627.db
Alteromonas_macleodii__Ionian_Sea_U7_	2554235399.db
Alteromonas_macleodii__Ionian_Sea_U8_	2554235400.db
Alteromonas_macleodii__Ionian_Sea_UM4b_	2554235401.db
Alteromonas_macleodii_ATCC_27126	2554235747.db
Alteromonas_macleodii__Ionian_Sea_U4_	2561511203.db
Alteromonas_macleodii__Ionian_Sea_UM7_	2561511204.db
Alteromonas_macleodii__English_Channel_615_	2561511205.db
Alteromonas_australica_H17	2585427644.db
Alteromonas_australica_DE170	2639762924.db
Alteromonas_stellipolaris_LMG21856	2684623042.db
Alteromonas_stellipolaris_PQQ_42	2684623167.db
Alteromonas_macleodii_D7	2684623206.db
Alteromonas_stellipolaris_PQQ_44	2687453219.db
Alteromonas_sp_Mac1	2687453355.db
Alteromonas_sp_Mac2	2687453434.db
Alteromonas_macleodii_HOT1A3	2687453488.db
Alteromonas_stellipolaris_LMG_21861	2687453500.db
Alteromonas_mediterranea_U10	2687453526.db
Alteromonas_mediterranea_UM8	2687453642.db
Alteromonas_stellipolaris_R10SW13	2687453643.db
Alteromonas_sp_BZK5	2698537011.db
Alteromonas_sp_I10	2710724218.db
Alteromonas_sp_Mex14	2718217925.db
Alteromonas_mediterranea_CP48	2718218105.db
Alteromonas_sp_RW2A1	2721755521.db
Alteromonas_mediterranea_AR43	2721755611.db
Alteromonas_mediterranea_CP49	2721755798.db
Alteromonas_mediterranea_RG65	2721755799.db
Alteromonas_sp_TK_46_2__DSM_26665	2731958078.db
Alteromonas_macleodii_BGP6	2738541260.db
Alteromonas_macleodii_BGP9	2738541261.db
Alteromonas_macleodii_BGP14	2738541262.db
Alteromonas_macleodii_MIT1002_Genome_closure	2738541267.db
Alteromonas_sp_LTR	2751185844.db
Alteromonas_sp_MB_3u_76	2775506997.db
Alteromonas_macleodii_EZ55	2785510739.db
Alteromonas_pelagimontana_512	2791355104.db
Alteromonas_aestuariivivens_KCTC_52655	2834719733.db
Alteromonas_lipolytica_JW12	2834723206.db
Alteromonas_sp_RKMC_009	2841454579.db
Alteromonas_macleodii_Te101	2841458974.db
Alteromonas_abrolhosensis_PEL_68C	2844285455.db
Alteromonas_alba_190	2844289591.db
Alteromonas_confluentis_KCTC_42603	2855643116.db
Alteromonas_indica_IO390401	2855647486.db
Alteromonas_sp_V450	2855651425.db
Alteromonas_oceani_S35	2855655360.db
Alteromonas_abrolhosensis_PEL_67E	2855659987.db
Alteromonas_sp_LOR	2857284938.db
Alteromonas_sp_KUL49	2885134237.db
Alteromonas_portus_HB161718	2899550177.db
Alteromonas_ponticola_MYP5	2899554215.db
Alteromonas_sp_KUL106	2899557523.db
Alteromonas_sp_KS69	2899561542.db
Alteromonas_sediminis_U0105	2899565944.db
Alteromonas_sp_KUL150	2899569661.db
Alteromonas_sp_KUL17	2899573643.db
Alteromonas_sp_KUL42	2902028997.db
Alteromonas_sp_07_89_2	2915794133.db
Alteromonas_macleodii_QZ9_9	GCF_023805395.1.db
Alteromonas_macleodii_83_1	GCF_901446755.2.db
Alteromonas_mediterranea_PT11	GCF_006517095.1.db
Alteromonas_mediterranea_PT15	GCF_006517115.1.db
Alteromonas_mediterranea_AltCH17	GCF_009759785.1.db
Alteromonas_sp_BL110	GCF_003443615.1.db
Alteromonas_sp_76_1	GCF_900654235.1.db
Alteromonas_sp_B31_7	GCF_015767655.1.db
Alteromonas_sp_KC3	GCF_016756315.1.db
Alteromonas_sp_KC14	GCF_016756335.1.db
Alteromonas_sp_LMIT006	GCF_024300645.1.db
Alteromonas_macleodii_REDSEA_S09_B2	2651870151.db
Alteromonas_macleodii_REDSEA_S10_B9	2651870152.db
Alteromonas_macleodii_REDSEA_S12_B5	2651870153.db
Alteromonas_macleodii_REDSEA_S14_B11	2651870154.db
Alteromonas_macleodii_REDSEA_S15_B11	2651870155.db
Alteromonas_sp_ARS20	2802429350.db
Alteromonas_sp_CPC291	2802429352.db
Alteromonas_sp_CPC327	2802429354.db
Alteromonas_sp_EAC615	2802429355.db
Alteromonas_sp_EAC37	2802429356.db
